Entity,Code,Year,Global average temperature anomaly relative to 1861-1890,Lower bound of the annual temperature anomaly (95% confidence interval),Upper bound of the annual temperature anomaly (95% confidence interval)
World,OWID_WRL,1960,0.24683817,0.18816018,0.30551615
World,OWID_WRL,1961,0.34229797,0.2915179,0.39307806
World,OWID_WRL,1962,0.29825503,0.24498852,0.35152155
World,OWID_WRL,1963,0.32548714,0.27171797,0.3792563
World,OWID_WRL,1964,0.056436215,0.01280323,0.10006917
World,OWID_WRL,1965,0.15787727,0.10868705,0.20706749
World,OWID_WRL,1966,0.21340014,0.16388856,0.2629117
World,OWID_WRL,1967,0.24475846,0.20164095,0.28787595
World,OWID_WRL,1968,0.19365019,0.14902225,0.23827812
World,OWID_WRL,1969,0.33091152,0.29040638,0.37141663
World,OWID_WRL,1970,0.27723366,0.2362451,0.31822222
World,OWID_WRL,1971,0.1564087,0.117825516,0.19499189
World,OWID_WRL,1972,0.26850644,0.23061424,0.3063986
World,OWID_WRL,1973,0.4122479,0.37577677,0.44871905
World,OWID_WRL,1974,0.18977118,0.1520721,0.22747026
World,OWID_WRL,1975,0.25154352,0.21099263,0.2920944
World,OWID_WRL,1976,0.14646085,0.106437124,0.18648459
World,OWID_WRL,1977,0.46538624,0.42235443,0.5084181
World,OWID_WRL,1978,0.3675537,0.32770112,0.4074063
World,OWID_WRL,1979,0.45315588,0.42465636,0.4816554
World,OWID_WRL,1980,0.5583698,0.5251017,0.59163785
World,OWID_WRL,1981,0.6123098,0.581689,0.64293057
World,OWID_WRL,1982,0.39656603,0.35718912,0.43594295
World,OWID_WRL,1983,0.5861076,0.5503421,0.62187314
World,OWID_WRL,1984,0.41029125,0.37383792,0.44674462
World,OWID_WRL,1985,0.41202748,0.3779612,0.4460938
World,OWID_WRL,1986,0.45798472,0.42670575,0.4892637
World,OWID_WRL,1987,0.60532415,0.5744833,0.636165
World,OWID_WRL,1988,0.6444495,0.60933304,0.6795659
World,OWID_WRL,1989,0.5415481,0.5067962,0.5762999
World,OWID_WRL,1990,0.7228801,0.68686646,0.7588938
World,OWID_WRL,1991,0.7011943,0.6663339,0.73605466
World,OWID_WRL,1992,0.48719457,0.45317987,0.5212093
World,OWID_WRL,1993,0.52800494,0.4905145,0.5654954
World,OWID_WRL,1994,0.59584755,0.5607107,0.63098437
World,OWID_WRL,1995,0.7391639,0.70595354,0.7723743
World,OWID_WRL,1996,0.6389871,0.60547775,0.6724965
World,OWID_WRL,1997,0.7846063,0.7523886,0.81682396
World,OWID_WRL,1998,0.93963945,0.90536654,0.9739124
World,OWID_WRL,1999,0.6867827,0.65513253,0.71843296
World,OWID_WRL,2000,0.6933825,0.6605256,0.72623944
World,OWID_WRL,2001,0.8515781,0.8203661,0.88279015
World,OWID_WRL,2002,0.9057643,0.87507963,0.93644893
World,OWID_WRL,2003,0.9064679,0.8735404,0.9393955
World,OWID_WRL,2004,0.82966846,0.7966361,0.8627009
World,OWID_WRL,2005,0.96916026,0.93800306,1.0003175
World,OWID_WRL,2006,0.93485045,0.90427077,0.96543014
World,OWID_WRL,2007,0.9539991,0.9236509,0.9843472
World,OWID_WRL,2008,0.8279476,0.7949551,0.8609401
World,OWID_WRL,2009,0.9590794,0.92755336,0.9906054
World,OWID_WRL,2010,1.0426692,1.0113736,1.0739646
World,OWID_WRL,2011,0.8999955,0.86829895,0.93169206
World,OWID_WRL,2012,0.9399048,0.907153,0.9726566
World,OWID_WRL,2013,0.9858731,0.9507816,1.0209646
World,OWID_WRL,2014,1.0351694,1.0012026,1.0691361
World,OWID_WRL,2015,1.1874121,1.1535848,1.2212394
World,OWID_WRL,2016,1.2952248,1.2640612,1.3263884
World,OWID_WRL,2017,1.207472,1.1770725,1.2378715
World,OWID_WRL,2018,1.1249518,1.0933498,1.1565537
World,OWID_WRL,2019,1.2533703,1.219085,1.2876556
World,OWID_WRL,2020,1.2852182,1.2505958,1.3198407
World,OWID_WRL,2021,1.1242033,1.0877554,1.1606511
World,OWID_WRL,2022,1.1636031,1.1275554,1.1996508
World,OWID_WRL,2023,1.4626105,1.4239484,1.5012726
World,OWID_WRL,2024,1.5430979,1.5038866,1.5823091
World,OWID_WRL,2025,1.6256422,1.371569,1.8797154